,V,U_star,U_obs,regret,S_align,Revenue
0,-0.6991494803060889,0.0,-0.0,0.0,1.0,0
1,-0.15433493841994178,0.0,-0.0,0.0,1.0,0
2,0.715331973107965,0.715331973107965,0.0,0.715331973107965,0.4984288393005875,0
3,-1.7829345806225536,0.0,-0.0,0.0,1.0,0
4,-0.4249927325086842,0.0,-0.0,0.0,1.0,0
5,-0.004051558317572146,0.0,-0.0,0.0,1.0,0
6,-0.6560898468161234,0.0,-0.0,0.0,1.0,0
7,-0.31404125946660494,0.0,-0.0,0.0,1.0,0
8,-1.483216880297013,0.0,-0.0,0.0,1.0,0
9,0.3597678297104448,0.3597678297104448,0.0,0.3597678297104448,0.7045520061984024,0
10,3.7309378121070393,3.7309378121070393,3.7309378121070393,0.0,1.0,1
11,-0.8777241897586888,0.0,-0.0,0.0,1.0,0
12,-1.0389197314347722,0.0,-0.0,0.0,1.0,0
13,0.3033584243650621,0.3033584243650621,0.0,0.3033584243650621,0.7443194413996177,0
14,0.4015149513773886,0.4015149513773886,0.4015149513773886,0.0,1.0,1
15,0.9847126498615391,0.9847126498615391,0.0,0.9847126498615391,0.38346537469073333,0
16,2.1049929898748485,2.1049929898748485,2.1049929898748485,0.0,1.0,1
17,-3.0438754274826163,0.0,-0.0,0.0,1.0,0
18,-0.7124395257852334,0.0,-0.0,0.0,1.0,0
19,0.7225518144327093,0.7225518144327093,0.0,0.7225518144327093,0.4949383126295171,0
20,-0.32446018686352585,0.0,-0.0,0.0,1.0,0
21,5.199891447541375,5.199891447541375,5.199891447541375,0.0,1.0,1
22,-1.3537210665872588,0.0,-0.0,0.0,1.0,0
23,1.991694449802102,1.991694449802102,1.991694449802102,0.0,1.0,1
24,-1.7729774902519064,0.0,-0.0,0.0,1.0,0
25,-0.014503874561504121,0.0,-0.0,0.0,1.0,0
26,0.8243459671654391,0.8243459671654391,0.0,0.8243459671654391,0.4482486429130558,0
27,-1.2233993765853919,0.0,-0.0,0.0,1.0,0
28,-1.0493610242340015,0.0,-0.0,0.0,1.0,0
29,0.6790726340992956,0.6790726340992956,0.0,0.6790726340992956,0.5163346897786556,0
30,-0.40260994072701906,0.0,-0.0,0.0,1.0,0
31,-0.5175153536808039,0.0,-0.0,0.0,1.0,0
32,1.095956563774712,1.095956563774712,0.0,1.095956563774712,0.3441115956470758,0
33,0.5614639906352972,0.5614639906352972,0.0,0.5614639906352972,0.5789602594528241,0
34,-1.742005749049217,0.0,-0.0,0.0,1.0,0
35,2.0162781772145872,2.0162781772145872,0.0,2.0162781772145872,0.14049015612329388,0
36,-0.25774869420117974,0.0,-0.0,0.0,1.0,0
37,-1.9801001988045626,0.0,-0.0,0.0,1.0,0
38,-0.021949696961941254,0.0,-0.0,0.0,1.0,0
39,-1.5779099982636215,0.0,-0.0,0.0,1.0,0
40,-0.6644733678806574,0.0,-0.0,0.0,1.0,0
41,2.8698430990828956,2.8698430990828956,2.8698430990828956,0.0,1.0,1
42,-2.221826856799144,0.0,-0.0,0.0,1.0,0
43,0.8370833140545959,0.8370833140545959,0.0,0.8370833140545959,0.44272540478392786,0
44,2.5606079725615274,2.5606079725615274,2.5606079725615274,0.0,1.0,1
45,-0.7827439026614851,0.0,-0.0,0.0,1.0,0
46,0.4020988286501267,0.4020988286501267,0.0,0.4020988286501267,0.676111313799046,0
47,-0.4052453797106972,0.0,-0.0,0.0,1.0,0
48,-0.2951461202306726,0.0,-0.0,0.0,1.0,0
49,0.2817386446909058,0.2817386446909058,0.2817386446909058,0.0,1.0,1
50,-0.008276718946505321,0.0,-0.008276718946505321,0.008276718946505321,0.991975920116796,1
51,-0.11977867631315012,0.0,-0.0,0.0,1.0,0
52,-0.5848024778973623,0.0,-0.0,0.0,1.0,0
53,-2.0257480956553335,0.0,-0.0,0.0,1.0,0
54,-1.2585729291377568,0.0,-0.0,0.0,1.0,0
55,0.761943292857507,0.761943292857507,0.0,0.761943292857507,0.4763200501402738,0
